PERIODO;CODGERENTE;GERENTE;CODSUPERVISOR;SUPERVISOR;QTRCA_SUPERVISOR;CODUSUR;RCA;QTCLI_RCA;CODFORNEC;FORNECEDOR;CODCLI;CLIENTE;CNPJ;CODRAMO;RAMO;UF;EMPRESA;CODPROD;PRODUTO;EMBALAGEM;QTUNIT;QTUNITCX;EAN;QT;PVENDA;ESTADO
2025-04;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5004;CASA DAS SANDALIAS;42345678000100;3;ESPECIALIZADO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;30;900,00;FATURADO
2025-04;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1001;ALPARGATAS;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;150;4500,00;FATURADO
2025-01;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;80;2400,00;FATURADO
2025-02;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;90;2700,00;FATURADO
2025-03;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;110;3300,00;FATURADO
2025-06;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;130;3900,00;FATURADO
2025-07;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;140;4200,00;FATURADO
2025-08;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;160;4800,00;FATURADO
2025-09;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;150;4500,00;FATURADO
2025-10;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;170;5100,00;FATURADO
2025-11;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;180;5400,00;FATURADO
2025-12;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;200;6000,00;FATURADO
